com.samsung.shealth.stress,6210049,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2020-11-14 09:00:00.000,,9d6b1c53-8081-9573-8483-87539be37031.binning_data.json,10011,2020-11-14 10:01:21.327,2020-11-14 09:10:44.998,100.0,0.0,53.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-14 09:59:59.999,9d6b1c53-8081-9573-8483-87539be37031,
2020-11-15 03:00:00.000,,5dd31ade-4ada-0260-4640-2b1771690f64.binning_data.json,10011,2020-11-15 04:08:53.430,2020-11-15 03:10:48.554,75.0,0.0,27.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-15 03:59:59.999,5dd31ade-4ada-0260-4640-2b1771690f64,
2020-11-15 09:00:00.000,,d83a6975-73e5-709c-97b1-c6bd407e6af9.binning_data.json,10011,2020-11-15 10:12:14.026,2020-11-15 09:15:01.448,17.0,16.0,16.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-15 09:59:59.999,d83a6975-73e5-709c-97b1-c6bd407e6af9,
2020-11-15 15:00:00.000,,9e533aef-1c92-c45a-ae0e-e8c261f2d7e0.binning_data.json,10011,2020-11-15 23:19:19.523,2020-11-15 15:45:59.964,22.0,4.0,12.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-15 15:59:59.999,9e533aef-1c92-c45a-ae0e-e8c261f2d7e0,
2020-11-16 04:00:00.000,,e23ff4ac-2ce6-22b7-3573-5e5159d2a96d.binning_data.json,10011,2020-11-16 05:09:40.072,2020-11-16 05:09:40.072,100.0,0.0,78.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-16 04:59:59.999,e23ff4ac-2ce6-22b7-3573-5e5159d2a96d,
2020-11-16 10:00:00.000,,8ef38f8f-552b-6e7a-bb0c-a573f0870692.binning_data.json,10011,2020-11-16 11:04:57.835,2020-11-16 11:04:57.835,100.0,1.0,78.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-16 10:59:59.999,8ef38f8f-552b-6e7a-bb0c-a573f0870692,
2020-11-16 22:00:00.000,,d8027c34-3c84-ea58-03b8-53de58f27b63.binning_data.json,10011,2020-11-16 23:01:26.916,2020-11-16 23:01:26.916,100.0,0.0,55.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-16 22:59:59.999,d8027c34-3c84-ea58-03b8-53de58f27b63,
2020-11-17 04:00:00.000,,44ca5d89-3e94-e5ad-99d0-b9207be5d1ca.binning_data.json,10011,2020-11-17 05:00:37.752,2020-11-17 04:51:15.257,100.0,7.0,91.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-17 04:59:59.999,44ca5d89-3e94-e5ad-99d0-b9207be5d1ca,
2020-11-17 10:00:00.000,,939f2299-7f72-e465-b08f-0a9a6e173276.binning_data.json,10011,2020-11-17 11:01:07.798,2020-11-17 10:31:23.371,100.0,0.0,48.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-17 10:59:59.999,939f2299-7f72-e465-b08f-0a9a6e173276,
2020-11-18 02:00:00.000,,fe14c74c-faf5-3fcf-8578-d1a5bf9350b2.binning_data.json,10011,2020-11-18 03:02:48.161,2020-11-18 02:08:51.945,95.0,10.0,42.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-18 02:59:59.999,fe14c74c-faf5-3fcf-8578-d1a5bf9350b2,
2020-11-18 08:00:00.000,,45f103fd-036f-6df4-a90b-06d0e851e64b.binning_data.json,10011,2020-11-18 09:02:30.455,2020-11-18 08:21:06.894,100.0,0.0,59.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-18 08:59:59.999,45f103fd-036f-6df4-a90b-06d0e851e64b,
2020-11-18 14:00:00.000,,7805fd1d-329b-f3b0-dcdf-2017b4c3c779.binning_data.json,10011,2020-11-18 15:00:20.332,2020-11-18 15:00:20.332,81.0,10.0,36.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-18 14:59:59.999,7805fd1d-329b-f3b0-dcdf-2017b4c3c779,
2020-11-19 03:00:00.000,,fd4ad161-1aab-ffc6-d3d9-a75aaca5aab5.binning_data.json,10011,2020-11-19 04:03:49.448,2020-11-19 03:15:01.527,100.0,1.0,91.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-19 03:59:59.999,fd4ad161-1aab-ffc6-d3d9-a75aaca5aab5,
2020-11-19 10:00:00.000,,23137e66-d0e4-4116-ff2a-9293e186854d.binning_data.json,10011,2020-11-19 11:03:25.220,2020-11-19 10:13:55.849,97.0,0.0,40.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-19 10:59:59.999,23137e66-d0e4-4116-ff2a-9293e186854d,
2020-11-19 16:00:00.000,,2414b98e-9640-4210-b28f-f5668d5f7470.binning_data.json,10011,2020-11-19 23:05:36.308,2020-11-19 16:54:59.684,78.0,55.0,65.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-19 16:59:59.999,2414b98e-9640-4210-b28f-f5668d5f7470,
2020-11-20 04:00:00.000,,9bc8ab75-deea-5499-96c1-c095a8f2bb17.binning_data.json,10011,2020-11-20 05:00:52.800,2020-11-20 04:21:54.568,96.0,1.0,36.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-20 04:59:59.999,9bc8ab75-deea-5499-96c1-c095a8f2bb17,
2020-11-20 10:00:00.000,,d1a0d1b9-2c40-1e55-0293-037459cd856c.binning_data.json,10011,2020-11-20 11:00:22.526,2020-11-20 10:02:47.572,100.0,1.0,66.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-20 10:59:59.999,d1a0d1b9-2c40-1e55-0293-037459cd856c,
