com.samsung.shealth.tracker.pedometer_day_summary,6210049,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
870,8e1d24d1-ce50-498e-a9d3-d63cae0e25a2.binning_data.json,443407,6000,15,2019-02-03 15:00:05.173,com.sec.android.app.shealth,2019-02-03 15:00:05.173,,2.4444444,711.37,34.489998,855,2lBdpDiteS,com.sec.android.app.shealth,0,8e1d24d1-ce50-498e-a9d3-d63cae0e25a2.achievement.json,8e1d24d1-ce50-498e-a9d3-d63cae0e25a2,1549152000000,
9138,f8cbfc9c-6ee9-4c1a-b5ab-9fb866036109.binning_data.json,4697384,6000,30,2019-01-28 14:15:07.193,com.sec.android.app.shealth,2019-01-27 15:09:18.391,f8cbfc9c-6ee9-4c1a-b5ab-9fb866036109.source_info.json,1.4996536,7044.4497,333.61,9108,VfS0qUERdZ,com.sec.android.app.shealth,0,f8cbfc9c-6ee9-4c1a-b5ab-9fb866036109.achievement.json,f8cbfc9c-6ee9-4c1a-b5ab-9fb866036109,1548633600000,
5331,8fee46c3-45b0-4164-86fb-86d75f8f711a.binning_data.json,2762735,6000,39,2019-02-02 15:00:02.741,com.sec.android.app.shealth,2019-02-02 15:00:02.741,,2.8333333,3962.6199,206.82997,5292,2lBdpDiteS,com.sec.android.app.shealth,988,8fee46c3-45b0-4164-86fb-86d75f8f711a.achievement.json,8fee46c3-45b0-4164-86fb-86d75f8f711a,1549065600000,
2269,b45b6d4c-3c32-43d9-9aeb-8fdec7022ec2.binning_data.json,1134711,6000,65,2019-01-27 14:35:34.241,com.sec.android.app.shealth,2019-01-26 23:53:15.294,b45b6d4c-3c32-43d9-9aeb-8fdec7022ec2.source_info.json,1.5528877,1762.0801,81.78999,2204,VfS0qUERdZ,com.sec.android.app.shealth,0,b45b6d4c-3c32-43d9-9aeb-8fdec7022ec2.achievement.json,b45b6d4c-3c32-43d9-9aeb-8fdec7022ec2,1548547200000,
133,728d78b7-242a-49ac-ab03-170115b88533.binning_data.json,70375,6000,1,2019-02-06 15:00:02.947,com.sec.android.app.shealth,2019-02-06 15:00:02.947,,3.083333,103.770004,4.7299995,132,2lBdpDiteS,com.sec.android.app.shealth,0,728d78b7-242a-49ac-ab03-170115b88533.achievement.json,728d78b7-242a-49ac-ab03-170115b88533,1549411200000,
11814,c7a7551e-90dd-40b6-a790-904d0198f293.binning_data.json,6199708,6000,105,2019-01-31 14:40:00.506,com.sec.android.app.shealth,2019-01-30 15:28:02.188,c7a7551e-90dd-40b6-a790-904d0198f293.source_info.json,1.4381354,8916.02,454.27,11709,VfS0qUERdZ,com.sec.android.app.shealth,0,c7a7551e-90dd-40b6-a790-904d0198f293.achievement.json,c7a7551e-90dd-40b6-a790-904d0198f293,1548892800000,
1274,f9b2df8d-df5e-4103-9202-d0d5e4505505.binning_data.json,657053,6000,26,2019-02-05 15:00:01.950,com.sec.android.app.shealth,2019-02-05 15:00:01.950,,3.4166667,1003.24,48.079998,1248,2lBdpDiteS,com.sec.android.app.shealth,0,f9b2df8d-df5e-4103-9202-d0d5e4505505.achievement.json,f9b2df8d-df5e-4103-9202-d0d5e4505505,1549324800000,
4838,9b2cd04a-84dc-4762-bf85-cf3484a7e302.binning_data.json,2457141,6000,31,2019-01-30 14:18:27.657,com.sec.android.app.shealth,2019-01-29 15:34:33.344,9b2cd04a-84dc-4762-bf85-cf3484a7e302.source_info.json,1.4633998,3595.78,186.20999,4807,VfS0qUERdZ,com.sec.android.app.shealth,0,9b2cd04a-84dc-4762-bf85-cf3484a7e302.achievement.json,9b2cd04a-84dc-4762-bf85-cf3484a7e302,1548806400000,
1647,86556c29-2855-49a7-970f-515fc37c7fc8.binning_data.json,836845,6000,13,2019-02-09 15:00:02.826,com.sec.android.app.shealth,2019-02-09 15:00:02.826,,3.8333333,1304.89,61.29,1634,2lBdpDiteS,com.sec.android.app.shealth,0,86556c29-2855-49a7-970f-515fc37c7fc8.achievement.json,86556c29-2855-49a7-970f-515fc37c7fc8,1549670400000,
9399,93c593bb-4fb7-4f21-8d27-81e9156062c7.binning_data.json,4788118,6000,81,2019-02-08 15:00:01.881,com.sec.android.app.shealth,2019-02-08 02:32:41.232,,4.0000005,7212.1,355.48996,9318,2lBdpDiteS,com.sec.android.app.shealth,0,93c593bb-4fb7-4f21-8d27-81e9156062c7.achievement.json,93c593bb-4fb7-4f21-8d27-81e9156062c7,1549584000000,
