com.samsung.health.sleep_stage,6210049,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2020-11-07 20:04:00.000,fd27e57d-44be-44fc-d8e8-2c1e26ae5867,,2020-11-07 22:31:02.445,2020-11-07 22:31:02.445,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-07 20:06:00.000,de2d159c-9707-4d47-97d0-f30d6ae772c1,
2020-11-07 20:28:00.000,fd27e57d-44be-44fc-d8e8-2c1e26ae5867,,2020-11-07 22:31:02.449,2020-11-07 22:31:02.449,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-07 20:30:00.000,c7b1206e-176f-4658-9316-2b0d92847f9b,
2020-11-07 21:00:00.000,fd27e57d-44be-44fc-d8e8-2c1e26ae5867,,2020-11-07 22:31:02.453,2020-11-07 22:31:02.453,40004,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-07 21:32:00.000,af2aca02-2eec-4f07-a232-4955ee7e1df3,
2020-11-07 21:39:00.000,fd27e57d-44be-44fc-d8e8-2c1e26ae5867,,2020-11-07 22:31:02.459,2020-11-07 22:31:02.459,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-07 21:40:00.000,dd7d2dcc-c5f7-42db-b030-d2a09afcf4ad,
2020-11-07 22:06:00.000,fd27e57d-44be-44fc-d8e8-2c1e26ae5867,,2020-11-07 22:31:02.465,2020-11-07 22:31:02.465,40004,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-07 22:07:00.000,c1aa5d62-32cd-4799-a235-360c099519c1,
2020-11-08 14:31:00.000,fa79b92e-3cc3-6447-e810-d6c0ba407467,,2020-11-08 21:28:15.689,2020-11-08 21:28:15.689,40003,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-08 15:04:00.000,70e3748f-6a55-43da-a871-a91d99b30707,
2020-11-08 16:30:00.000,fa79b92e-3cc3-6447-e810-d6c0ba407467,,2020-11-08 21:28:15.694,2020-11-08 21:28:15.694,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-08 16:31:00.000,75de673c-2c72-402a-92ce-92b93bcc1b48,
2020-11-08 17:57:00.000,fa79b92e-3cc3-6447-e810-d6c0ba407467,,2020-11-08 21:28:15.697,2020-11-08 21:28:15.697,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-08 18:16:00.000,49ca32e1-fa83-4b37-bf50-2162e343a439,
2020-11-08 18:47:00.000,fa79b92e-3cc3-6447-e810-d6c0ba407467,,2020-11-08 21:28:15.704,2020-11-08 21:28:15.704,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-08 18:48:00.000,aa1c6c08-14e4-49ae-af9e-18ddb14f70e5,
2020-11-08 19:24:00.000,fa79b92e-3cc3-6447-e810-d6c0ba407467,,2020-11-08 21:28:15.707,2020-11-08 21:28:15.707,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-08 19:27:00.000,01207187-8c7b-4301-b394-bbce3d1c05c4,
2020-11-08 20:30:00.000,fa79b92e-3cc3-6447-e810-d6c0ba407467,,2020-11-08 21:28:15.713,2020-11-08 21:28:15.713,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-08 21:01:00.000,7ecb2171-fcd9-4285-a3f8-c3282cb65fca,
2020-11-09 15:59:00.000,89b86eea-9090-e4a1-2a00-70c3327736a1,,2020-11-09 21:24:00.703,2020-11-09 21:24:00.703,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-09 16:00:00.000,c3901e33-932f-4b23-a32e-52e827fca58c,
2020-11-09 16:26:00.000,89b86eea-9090-e4a1-2a00-70c3327736a1,,2020-11-09 21:24:00.711,2020-11-09 21:24:00.711,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-09 17:17:00.000,c8836f82-fe2e-4765-a6e2-4fa654fc628b,
2020-11-09 18:07:00.000,89b86eea-9090-e4a1-2a00-70c3327736a1,,2020-11-09 21:24:00.721,2020-11-09 21:24:00.721,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-09 18:12:00.000,364e4fac-e2f1-4124-8a76-a5c4316dc02f,
2020-11-09 18:41:00.000,89b86eea-9090-e4a1-2a00-70c3327736a1,,2020-11-09 21:24:00.726,2020-11-09 21:24:00.726,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-09 18:59:00.000,681a577e-5240-4cca-ba61-434d0dedca7a,
2020-11-09 19:40:00.000,89b86eea-9090-e4a1-2a00-70c3327736a1,,2020-11-09 21:24:00.730,2020-11-09 21:24:00.730,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-09 19:47:00.000,a05f0c5a-2f21-4fdc-98db-0051f6797bcf,
2020-11-09 20:00:00.000,89b86eea-9090-e4a1-2a00-70c3327736a1,,2020-11-09 21:24:00.734,2020-11-09 21:24:00.734,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-09 20:02:00.000,1671fabf-10a3-409c-996d-bc48dcd649fa,
2020-11-09 20:47:00.000,89b86eea-9090-e4a1-2a00-70c3327736a1,,2020-11-09 21:24:00.738,2020-11-09 21:24:00.738,40004,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-09 20:48:00.000,50b93613-c023-4bfd-b912-78a47c4240df,
2020-11-09 21:01:00.000,89b86eea-9090-e4a1-2a00-70c3327736a1,,2020-11-09 21:24:00.742,2020-11-09 21:24:00.742,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-09 21:02:00.000,b57dbd3a-5f75-4319-b409-aff6d21a0e05,
2020-11-10 15:25:00.000,b2319c5e-bfe9-9dae-c6ab-0f9c010ff400,,2020-11-10 21:20:52.201,2020-11-10 21:20:52.201,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-10 15:41:00.000,72f28959-ef5a-43c0-b9b6-11c791211e16,
2020-11-10 16:06:00.000,b2319c5e-bfe9-9dae-c6ab-0f9c010ff400,,2020-11-10 21:20:52.205,2020-11-10 21:20:52.205,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-10 16:09:00.000,9116b32b-1b97-4aad-bdfd-98e1df20e760,
2020-11-10 16:23:00.000,b2319c5e-bfe9-9dae-c6ab-0f9c010ff400,,2020-11-10 21:20:52.217,2020-11-10 21:20:52.217,40004,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-10 16:24:00.000,ed775409-48cc-43e9-92b7-3ff68db1de2f,
2020-11-10 17:24:00.000,b2319c5e-bfe9-9dae-c6ab-0f9c010ff400,,2020-11-10 21:20:52.220,2020-11-10 21:20:52.220,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-10 17:30:00.000,3736c725-25a2-4008-807d-5e055694bbd0,
