com.samsung.shealth.stand_day_summary,6210049,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
591872,2021-06-29 10:13:13.350,2021-06-28 15:00:10.187,m6sL7dLFqc,com.sec.android.app.shealth,b90de9e9-022d-5b8c-c746-60fc47f25317,1624924800000,
4718592,2021-07-05 13:12:03.308,2021-07-04 15:00:03.697,m6sL7dLFqc,com.sec.android.app.shealth,b6e56380-21e5-a282-5b7e-dd82babcd8a7,1625443200000,
2376704,2021-03-09 12:19:10.268,2021-03-08 15:00:12.865,m6sL7dLFqc,com.sec.android.app.shealth,e371ae6d-9a2a-e53b-f411-f185048eedf5,1615248000000,
0,2021-07-10 15:00:04.090,2021-07-10 15:00:04.090,m6sL7dLFqc,com.sec.android.app.shealth,55ef73bd-b55b-a1d7-5a0f-b73bca43f73c,1625961600000,
0,2021-07-16 15:00:04.867,2021-07-16 15:00:04.867,m6sL7dLFqc,com.sec.android.app.shealth,9b9bd710-93a4-baf4-861b-dba1389b2ad1,1626480000000,
6815744,2021-03-15 13:11:34.332,2021-03-14 15:00:05.587,m6sL7dLFqc,com.sec.android.app.shealth,6c5f37cd-afe3-518f-96f3-f6068ae4a1e9,1615766400000,
8192,2021-07-23 04:26:58.681,2021-07-22 15:00:13.727,m6sL7dLFqc,com.sec.android.app.shealth,34c22ff4-1f31-af87-8b29-7f11df1d023c,1626998400000,
98304,2021-07-29 07:06:39.663,2021-07-28 15:00:17.969,m6sL7dLFqc,com.sec.android.app.shealth,80177ca0-38e4-c813-ff86-20cfb4d71b39,1627516800000,
540672,2021-08-04 10:36:22.344,2021-08-03 15:00:07.857,m6sL7dLFqc,com.sec.android.app.shealth,f9f50eae-3497-117c-cf00-66cc700b3b7f,1628035200000,
2359296,2021-08-10 12:57:20.305,2021-08-09 15:00:21.296,m6sL7dLFqc,com.sec.android.app.shealth,89897820-1802-3b85-9e59-8e6d18999586,1628553600000,
0,2021-03-20 15:00:02.677,2021-03-20 15:00:02.677,m6sL7dLFqc,com.sec.android.app.shealth,075e9c0a-39b1-b99f-82c5-10215612d6b1,1616284800000,
1251328,2021-08-16 11:01:16.353,2021-08-15 15:00:05.044,m6sL7dLFqc,com.sec.android.app.shealth,1690caec-e9a3-7ee0-ff82-f80aeb925d84,1629072000000,
0,2021-08-21 15:00:05.093,2021-08-21 15:00:05.093,m6sL7dLFqc,com.sec.android.app.shealth,7f02affd-731b-a94c-2ad0-4c617c318b4f,1629590400000,
0,2021-08-27 15:00:12.745,2021-08-27 15:00:12.745,m6sL7dLFqc,com.sec.android.app.shealth,1cead08b-83e6-f3d2-8fd3-3bb043a43c97,1630108800000,
0,2021-03-26 15:00:08.313,2021-03-26 15:00:08.313,m6sL7dLFqc,com.sec.android.app.shealth,95dfbb36-741c-8991-30f2-ffa7712592dd,1616803200000,
2629632,2021-09-03 12:40:46.336,2021-09-02 15:00:13.897,m6sL7dLFqc,com.sec.android.app.shealth,b27f5071-c09c-bd4c-bb02-c584bc996387,1630627200000,
8413184,2021-09-09 14:16:04.287,2021-09-08 15:00:07.913,m6sL7dLFqc,com.sec.android.app.shealth,64acac78-3a2c-efe7-9826-99628baec3ff,1631145600000,
557056,2021-09-15 10:21:04.347,2021-09-14 15:00:07.883,m6sL7dLFqc,com.sec.android.app.shealth,90f4851b-30d1-ddc0-1c8e-e6077342236c,1631664000000,
532480,2021-09-21 10:03:38.344,2021-09-20 15:00:04.986,m6sL7dLFqc,com.sec.android.app.shealth,c78b5c82-414b-5dfc-44e1-70ac259c92fa,1632182400000,
1179648,2021-04-17 11:58:26.278,2021-04-16 15:00:17.167,m6sL7dLFqc,com.sec.android.app.shealth,d2dab968-c83f-dfa3-08d9-fce3476e824f,1618617600000,
149504,2021-09-27 08:18:37.377,2021-09-26 15:00:08.947,m6sL7dLFqc,com.sec.android.app.shealth,e30159c2-bc1c-d902-7dd3-9cc4c707a3cf,1632700800000,
2621824,2021-10-03 12:12:54.229,2021-10-02 15:00:07.943,m6sL7dLFqc,com.sec.android.app.shealth,d759ec35-0bac-eed9-3536-ec0207693a5a,1633219200000,
294912,2021-10-09 09:57:14.324,2021-10-08 15:00:10.783,m6sL7dLFqc,com.sec.android.app.shealth,97dd5499-476c-cbac-3920-378639382635,1633737600000,
10758656,2021-10-15 14:01:42.295,2021-10-14 15:00:12.004,m6sL7dLFqc,com.sec.android.app.shealth,8a197aaf-e0c5-e66b-cb22-5855f1db6307,1634256000000,
40960,2021-04-23 06:58:57.571,2021-04-22 15:00:11.571,m6sL7dLFqc,com.sec.android.app.shealth,c3f6adb3-7f80-57c4-8452-559d6b024cb6,1619136000000,
5120,2021-10-21 03:27:29.320,2021-10-20 15:00:11.001,m6sL7dLFqc,com.sec.android.app.shealth,0e065c08-a811-61a3-1192-7a4ea55f7a62,1634774400000,
