com.samsung.shealth.report,6210049,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Asia/Seoul,1576335600000,2019-12-22 07:11:52.431,2019-12-22 07:11:49.188,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,0ae09064-6a67-4c96-a983-6db5cfdc9e5b,0ae09064-6a67-4c96-a983-6db5cfdc9e5b.compressed_content.json,
Asia/Seoul,1579964400000,2020-02-02 06:41:24.009,2020-02-02 06:41:22.250,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,5ec23f6f-6032-4fe4-9cb3-7bde43c2ce4c,5ec23f6f-6032-4fe4-9cb3-7bde43c2ce4c.compressed_content.json,
Asia/Seoul,1638025200000,2021-12-05 05:57:38.350,2021-12-05 05:57:36.319,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,851df214-1d14-44c2-9e13-e2d33902fbae,851df214-1d14-44c2-9e13-e2d33902fbae.compressed_content.json,
Asia/Seoul,1583593200000,2020-03-16 07:12:38.044,2020-03-15 06:40:44.856,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,231b52e5-bd4d-4307-9b4f-d1188e4a2854,231b52e5-bd4d-4307-9b4f-d1188e4a2854.compressed_content.json,
Asia/Seoul,1641049200000,2022-01-14 05:49:54.481,2022-01-14 05:49:53.270,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,11ea59e2-2f3b-497b-8bd4-26fb6bf5f787,11ea59e2-2f3b-497b-8bd4-26fb6bf5f787.compressed_content.json,
Asia/Seoul,1587222000000,2020-04-26 07:45:10.157,2020-04-26 07:45:07.191,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,18359c04-3c78-418d-87c8-cd42fcab5884,18359c04-3c78-418d-87c8-cd42fcab5884.compressed_content.json,
Asia/Seoul,1644678000000,2022-02-21 08:12:16.161,2022-02-21 08:12:14.644,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,3c9f4318-6416-42da-9167-42d711b09934,3c9f4318-6416-42da-9167-42d711b09934.compressed_content.json,
Asia/Seoul,1547910000000,2019-02-02 06:41:04.861,2019-01-27 06:41:11.725,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,f6907cec-ccf5-4fc5-9735-4d56ba96501a,f6907cec-ccf5-4fc5-9735-4d56ba96501a.compressed_content.json,
Asia/Seoul,1590850800000,2020-06-07 06:43:26.583,2020-06-07 06:43:24.637,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,ddc6e0e0-e926-4444-8c6d-92d717807fda,ddc6e0e0-e926-4444-8c6d-92d717807fda.compressed_content.json,
Asia/Seoul,1551538800000,2019-03-16 06:40:44.233,2019-03-10 06:41:03.188,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,24d39af0-1108-4c66-931d-057e1c776d3f,24d39af0-1108-4c66-931d-057e1c776d3f.compressed_content.json,
