com.samsung.shealth.activity.day_summary,6210049,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,,0,2018-11-03 01:46:54.543,2018-11-03 01:46:54.543,-1,0,0,0.0,0.0,60541009-54dd-4e6c-afaa-6cefea11075d.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,60541009-54dd-4e6c-afaa-6cefea11075d,1540684800000,
0,0,,0,2018-11-03 01:46:50.623,2018-11-03 01:46:50.623,-1,0,0,0.0,0.0,542914db-d1ad-4361-972a-d0d8e3defb90.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,542914db-d1ad-4361-972a-d0d8e3defb90,1538956800000,
0,0,,0,2018-11-03 01:46:52.645,2018-11-03 01:46:52.645,-1,0,0,0.0,0.0,db09f0a7-c0e2-4d12-b5f7-a857d82f673f.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,db09f0a7-c0e2-4d12-b5f7-a857d82f673f,1539907200000,
0,0,,0,2018-11-03 01:46:53.772,2018-11-03 01:46:53.772,-1,0,0,0.0,0.0,fa5812d0-7fa1-48e2-8faf-935128b1a587.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,fa5812d0-7fa1-48e2-8faf-935128b1a587,1540339200000,
1647,1019497,,0,2019-02-09 14:51:38.853,2019-02-08 15:00:00.407,60,180000,26,1304.8896,61.29001,89ee29c4-2e63-4c09-9978-41f198045a21.extra_data.json,2lBdpDiteS,5200,com.sec.android.app.shealth,1014297,34260000,89ee29c4-2e63-4c09-9978-41f198045a21,1549670400000,
0,0,,0,2018-11-03 01:46:52.232,2018-11-03 01:46:52.232,-1,0,0,0.0,0.0,47d0af82-2537-4c77-9ad3-3ab42600fc51.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,47d0af82-2537-4c77-9ad3-3ab42600fc51,1539734400000,
0,0,,0,2018-11-03 01:46:51.676,2018-11-03 01:46:51.676,-1,0,0,0.0,0.0,cc6dd74b-e909-4186-9f5d-66ac507dc4cd.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,cc6dd74b-e909-4186-9f5d-66ac507dc4cd,1539475200000,
0,0,,0,2018-11-03 01:46:53.966,2018-11-03 01:46:53.966,-1,0,0,0.0,0.0,19c7afca-c0e8-4094-acc5-5bea5ef68a82.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,19c7afca-c0e8-4094-acc5-5bea5ef68a82,1540425600000,
0,0,,0,2018-11-03 01:46:54.759,2018-11-03 01:46:54.759,-1,0,0,0.0,0.0,3e52ab26-bca0-47ea-89ec-19dec2b727b9.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,3e52ab26-bca0-47ea-89ec-19dec2b727b9,1540857600000,
0,0,,0,2018-11-03 01:46:53.613,2018-11-03 01:46:53.613,-1,0,0,0.0,0.0,2d8b339d-4d13-401e-87ac-cb349a78db6c.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,2d8b339d-4d13-401e-87ac-cb349a78db6c,1540252800000,
0,0,,0,2018-11-03 01:46:52.775,2018-11-03 01:46:52.775,-1,0,0,0.0,0.0,8480223a-da66-4607-917c-585af04b4f6b.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,8480223a-da66-4607-917c-585af04b4f6b,1539993600000,
10288,6226548,,0,2019-02-11 15:00:00.719,2019-02-10 15:30:14.207,60,420000,171,7814.742,406.87988,77e5139b-21f3-4ad2-abf8-52e3f3eca47f.extra_data.json,2lBdpDiteS,38531,com.sec.android.app.shealth,6188017,26340000,77e5139b-21f3-4ad2-abf8-52e3f3eca47f,1549843200000,
0,0,,0,2018-11-03 01:46:54.854,2018-11-03 01:46:54.854,-1,0,0,0.0,0.0,25a89307-7feb-4c1c-bb4e-08bf70e0245a.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,25a89307-7feb-4c1c-bb4e-08bf70e0245a,1540944000000,
11904,7205172,,0,2019-02-15 14:24:56.743,2019-02-14 15:00:00.551,60,986694,198,9019.029,453.44553,3fb8b815-0ea8-41fc-9b15-3fe833302679.extra_data.json,2lBdpDiteS,28718,com.sec.android.app.shealth,7176454,22440000,3fb8b815-0ea8-41fc-9b15-3fe833302679,1550188800000,
0,0,,0,2018-11-03 01:46:54.646,2018-11-03 01:46:54.646,-1,0,0,0.0,0.0,b5ab1689-80bf-4f99-9104-cdcde8dd8393.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,b5ab1689-80bf-4f99-9104-cdcde8dd8393,1540771200000,
0,0,,0,2018-11-03 01:46:54.107,2018-11-03 01:46:54.107,-1,0,0,0.0,0.0,43dbcb78-8a29-4acb-8b22-aac54a6c048e.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,43dbcb78-8a29-4acb-8b22-aac54a6c048e,1540512000000,
13326,8206987,,0,2019-02-17 15:04:01.546,2019-02-16 15:00:00.398,60,780000,226,10038.118,516.5599,8734980f-0e39-4846-9fa1-eea44bcd7058.extra_data.json,2lBdpDiteS,39654,com.sec.android.app.shealth,8167333,29820000,8734980f-0e39-4846-9fa1-eea44bcd7058,1550361600000,
